model,beta,time_M,observer_day,engine_fraction,Lbol_over_LEdd,bolometric_flux_erg_cm2_s,optical_r_flux_erg_cm2_s,optical_r_ab_magnitude,optical_r_flux_density_mJy,uvot_uvw2_flux_erg_cm2_s,uvot_uvw2_ab_magnitude,uvot_uvw2_flux_density_mJy,soft_x_flux_erg_cm2_s,hard_x_flux_erg_cm2_s
cool_reprocessed,10,1710.0,19.09762942636707,0.0019512294310719508,0.0019512294310719508,1.2212899134177631e-13,2.4378131199980684e-15,23.336513011873656,0.0016803308282101641,7.736008410966187e-15,23.38991856700516,0.0015996780040608575,3.738521685405996e-15,4.083609293691227e-32
cool_reprocessed,10,1720.0,19.209311469796116,0.00199517916547817,0.00199517916547817,1.2487983993359043e-13,2.492722725936644e-15,23.312329104128658,0.0017181788087902072,7.910255226646626e-15,23.365734659260163,0.0016357093503978804,3.82272861285851e-15,4.175589017355963e-32
cool_reprocessed,10,1730.0,19.320993513225165,0.0020395725953700245,0.0020395725953700245,1.276584597763198e-13,2.5481866729788034e-15,23.28843593690953,0.0017564088844693594,8.086261154789251e-15,23.341841492041034,0.0016721044519640781,3.907785653151856e-15,4.2684973242922797e-32
cool_reprocessed,10,1740.0,19.43267555665421,0.0020844342197809157,0.0020844342197809157,1.304663842838165e-13,2.604235569552291e-15,23.26481337107932,0.001795042152961929,8.264123326323637e-15,23.318218926210825,0.0017088833938218365,3.993739746008336e-15,4.362385487035785e-32
cool_reprocessed,10,1750.0,19.54435760008326,0.002129697405984738,0.002129697405984738,1.332994428611212e-13,2.6607861665366615e-15,23.241489102011705,0.001834021232484892,8.44357756353629e-15,23.29489465714321,0.0017459915484093708,4.0804632242825415e-15,4.4571140540103307e-32
cool_reprocessed,10,1760.0,19.656039643512308,0.0021754657047014726,0.0021754657047014726,1.36164116829591e-13,2.7179678373924316e-15,23.218403253764244,0.0018734352973118105,8.625034412326112e-15,23.271808808895734,0.001783513809797272,4.168154489354662e-15,4.5528997402140375e-32
cool_reprocessed,10,1770.0,19.767721686941353,0.002221547574127563,0.002221547574127563,1.3904841743644483e-13,2.775541274986208e-15,23.195644811719355,0.0019131193983125193,8.807734469939244e-15,23.24905036685086,0.0018212931461136703,4.256446550457309e-15,4.649341679466495e-32
cool_reprocessed,10,1780.0,19.879403730370402,0.002268129325351109,0.002268129325351109,1.419640060398516e-13,2.8337392513373854e-15,23.173114322421903,0.001953233980107209,8.992416400994842e-15,23.226519877553407,0.0018594823009287472,4.345696376397943e-15,4.746829790902157e-32
cool_reprocessed,10,1790.0,19.991085773799448,0.002315217355897454,0.002315217355897454,1.4491128306597582e-13,2.8925697593405805e-15,23.150804433169377,0.0019937845520218893,9.179105569660279e-15,23.20420998830088,0.0018980865191308843,4.435916224723958e-15,4.845377463512359e-32
cool_reprocessed,10,1800.0,20.102767817228496,0.0023628483325129354,0.0023628483325129354,1.4789254351543345e-13,2.952078609434007e-15,23.128694242165544,0.0020348026901814715,9.36794734800383e-15,23.18209979729705,0.0019371358612484152,4.52717634828422e-15,4.945061434898396e-32
cool_reprocessed,10,1810.0,20.214449860657542,0.0024109980166031626,0.0024109980166031626,1.5090627027545575e-13,3.0122355185753545e-15,23.10679172403011,0.002076267521152651,9.558845637654333e-15,23.160197279161615,0.0019766104557348775,4.619430306353041e-15,5.04583097758161e-32
cool_reprocessed,10,1820.0,20.32613190408659,0.002459672244983025,0.002459672244983025,1.539528286768971e-13,3.07304777912281e-15,23.085090755379547,0.0021181840713971256,9.751823579739309e-15,23.13849631051105,0.002016515087790947,4.712689282166332e-15,5.147698307076563e-32
cool_reprocessed,10,1830.0,20.437813947515636,0.0025087820715563127,0.0025087820715563127,1.5702665151333831e-13,3.134404264236618e-15,23.063626513227682,0.0021604757436346723,9.946528531080337e-15,23.117032068359187,0.002056776836666564,4.8067828565492785e-15,5.250477273513158e-32
cool_reprocessed,10,1840.0,20.549495990944685,0.002558250157701815,0.002558250157701815,1.6012289809938908e-13,3.1962083491414103e-15,23.042426332870726,0.0022030759365382706,1.014265386847122e-14,23.09583188800223,0.0020973322977772923,4.901562850047476e-15,5.354006019599114e-32
cool_reprocessed,10,1850.0,20.66117803437373,0.0026080422660427027,0.0026080422660427027,1.6323942549058999e-13,3.258417258587337e-15,23.021497293519126,0.002245955166071422,1.0340063851526485e-14,23.074902848650645,0.002138153402266771,4.99696366444183e-15,5.458212892012691e-32
cool_reprocessed,10,1860.0,20.77286007780278,0.002658073464309434,0.002658073464309434,1.663709177091035e-13,3.320924880500798e-15,23.00086640709531,0.002289040291521636,1.0538421750622708e-14,23.054271962226814,0.002179170520043705,5.092822570979677e-15,5.562920141177281e-32
cool_reprocessed,10,1870.0,20.884542121231824,0.0027082847141420576,0.0027082847141420576,1.6951367949734656e-13,3.383657453956408e-15,22.980548060457004,0.0023322804711095216,1.0737493497309566e-14,23.03395361558851,0.002220335249641662,5.1890264531891995e-15,5.668004209303349e-32
cool_reprocessed,10,1880.0,20.996224164660873,0.0027586620480017166,0.0027586620480017166,1.7266683661602946e-13,3.44659752829002e-15,22.960537606395427,0.0023756636764770806,1.0937223714707053e-14,23.01394316152693,0.0022616361400419538,5.2855485495086504e-15,5.773435864579106e-32
cool_reprocessed,10,1890.0,21.10790620808992,0.0028091852859839436,0.0028091852859839436,1.7582912598899163e-13,3.509719891276413e-15,22.940832894316877,0.002419172529393416,1.1137532395867643e-14,22.994238449448382,0.0023030566471371645,5.382350195591712e-15,5.879172873710958e-32
cool_reprocessed,10,1900.0,21.219588251518967,0.0028597931335096905,0.0028597931335096905,1.7899671114011473e-13,3.572947963131269e-15,22.92144730913673,0.0024627542451018322,1.1338176527144913e-14,22.974852864268236,0.002344546519742934,5.479313952089986e-15,5.985086957005774e-32
cool_reprocessed,10,1910.0,21.331270294948013,0.002910447488179625,0.002910447488179625,1.8216720721012793e-13,3.63623413975047e-15,22.902384436991248,0.0025063760111430624,1.1539005044559905e-14,22.955789992122753,0.002386074520338372,5.5763668154684155e-15,6.0910983722715e-32
cool_reprocessed,10,1920.0,21.44295233837706,0.002961150531401813,0.002961150531401813,1.8534075073508513e-13,3.699581146526077e-15,22.883632643039867,0.0025500397060697574,1.1740026596706617e-14,22.937038198171372,0.0024276424373090187,5.673512965266951e-15,6.197211684844285e-32
cool_reprocessed,10,1930.0,21.55463438180611,0.003011888848999728,0.003011888848999728,1.8851650211108186e-13,3.7629722241498265e-15,22.865186505337583,0.002593733778060286,1.1941188000611902e-14,22.918592060469088,0.0024692392732996735,5.7707267001564536e-15,6.303398821010675e-32
cool_reprocessed,10,1940.0,21.666316425235156,0.003062669337418594,0.003062669337418594,1.916948929920721e-13,3.8264159888533e-15,22.84703358049037,0.0026374641660930824,1.2142516598502875e-14,22.900439135621873,0.002510870682228607,5.868021233606137e-15,6.40967421392105e-32
cool_reprocessed,10,1950.0,21.777998468664205,0.003113401997007614,0.003113401997007614,1.9487029022882292e-13,3.8897999975142214e-15,22.829195857685228,0.0026811533656034086,1.234365557018994e-14,22.882601412816733,0.0025524628796092497,5.965224127848911e-15,6.515849508785059e-32
cool_reprocessed,10,1960.0,21.88968051209325,0.0031639827584438755,0.0031639827584438755,1.9803618004021016e-13,3.9529942287436416e-15,22.81169858624238,0.0027247117557149193,1.2544192313677364e-14,22.865104141373884,0.002593930546204348,6.062135987870377e-15,6.621706905252076e-32
cool_reprocessed,10,1970.0,22.0013625555223,0.003214470855444298,0.003214470855444298,2.0119626991136378e-13,4.016072687540641e-15,22.79451012552463,0.0027681903464416226,1.2744361671944152e-14,22.847915680656122,0.0026353222436399986,6.158870304442911e-15,6.727370369962344e-32
cool_reprocessed,10,1980.0,22.113044598951344,0.0032649339247047427,0.0032649339247047427,2.0435479327650314e-13,4.079119877358242e-15,22.77759786553178,0.002811647384150328,1.2944431803126781e-14,22.831003420663286,0.002676693422563323,6.25555666830053e-15,6.832981455639197e-32
cool_reprocessed,10,1990.0,22.224726642380393,0.0033152454113253363,0.0033152454113253363,2.0750382896448102e-13,4.1419776839376094e-15,22.76099465025566,0.0028549738841689453,1.3143900957018798e-14,22.81440020538715,0.0027179403293683064,6.3519526024540916e-15,6.938275303236816e-32
cool_reprocessed,10,2000.0,22.336408685809438,0.0033654333878759828,0.0033654333878759828,2.106451340596219e-13,4.2046811803860544e-15,22.744681359362723,0.0028981940216169597,1.3342880432493334e-14,22.798086914494228,0.002759085978812659,6.448111893459742e-15,7.043310664127812e-32
cool_reprocessed,10,2010.0,22.448090729238487,0.003415451190192432,0.003415451190192432,2.1377578781502598e-13,4.2671720657626264e-15,22.72866364863733,0.002941267610941348,1.3541185220877715e-14,22.78206920376885,0.002800092114176829,6.543945133589617e-15,7.147989877723546e-32
